Época 24/100 | Loss: 119.1326 | Acc: 0.3851
Época 25/100 | Loss: 115.7404 | Acc: 0.3702
Época 26/100 | Loss: 112.3051 | Acc: 0.3830
Época 27/100 | Loss: 109.4447 | Acc: 0.3851
Época 28/100 | Loss: 106.8579 | Acc: 0.3957
Época 29/100 | Loss: 104.0041 | Acc: 0.3872
Época 30/100 | Loss: 101.6902 | Acc: 0.3979
Época 31/100 | Loss: 99.1438 | Acc: 0.3957
Época 32/100 | Loss: 96.6777 | Acc: 0.3957
Época 33/100 | Loss: 94.5605 | Acc: 0.4000
Época 34/100 | Loss: 92.2902 | Acc: 0.3936
Época 35/100 | Loss: 90.2134 | Acc: 0.3979
Época 36/100 | Loss: 88.3779 | Acc: 0.4106
Época 37/100 | Loss: 86.5452 | Acc: 0.3979
Época 38/100 | Loss: 84.4930 | Acc: 0.3979
Época 39/100 | Loss: 82.7510 | Acc: 0.4021
Época 40/100 | Loss: 81.0265 | Acc: 0.3957
Época 41/100 | Loss: 78.9916 | Acc: 0.4106
Época 42/100 | Loss: 77.5943 | Acc: 0.4128
Época 43/100 | Loss: 75.6913 | Acc: 0.4043
Época 44/100 | Loss: 74.1069 | Acc: 0.4106
Época 45/100 | Loss: 72.2427 | Acc: 0.4064
Época 46/100 | Loss: 71.0080 | Acc: 0.4064
Época 47/100 | Loss: 69.3522 | Acc: 0.4085
Época 48/100 | Loss: 67.9278 | Acc: 0.4213
Época 49/100 | Loss: 66.6951 | Acc: 0.4149
Época 50/100 | Loss: 65.1170 | Acc: 0.4085
Época 51/100 | Loss: 63.8589 | Acc: 0.4234
Época 52/100 | Loss: 62.4951 | Acc: 0.4149
Época 53/100 | Loss: 61.1032 | Acc: 0.4106
Época 54/100 | Loss: 59.5975 | Acc: 0.4149
Época 55/100 | Loss: 58.5463 | Acc: 0.4213
Época 56/100 | Loss: 57.2607 | Acc: 0.4277
Época 57/100 | Loss: 56.1591 | Acc: 0.4191
Época 58/100 | Loss: 54.7767 | Acc: 0.4191
Época 59/100 | Loss: 53.6856 | Acc: 0.4170
Época 60/100 | Loss: 52.4676 | Acc: 0.4213
Época 61/100 | Loss: 51.2943 | Acc: 0.4106
Época 62/100 | Loss: 50.2763 | Acc: 0.4149
Época 63/100 | Loss: 49.2722 | Acc: 0.4319
Época 64/100 | Loss: 48.1027 | Acc: 0.4149
Época 65/100 | Loss: 47.1111 | Acc: 0.4191
Época 66/100 | Loss: 45.9914 | Acc: 0.4213
Época 67/100 | Loss: 45.1722 | Acc: 0.4106
Época 68/100 | Loss: 44.2748 | Acc: 0.4234
Época 69/100 | Loss: 43.0862 | Acc: 0.4191
Época 70/100 | Loss: 42.1993 | Acc: 0.4191
Época 71/100 | Loss: 41.4388 | Acc: 0.4170
Época 72/100 | Loss: 40.4477 | Acc: 0.4128
Época 73/100 | Loss: 39.5473 | Acc: 0.4277
Época 74/100 | Loss: 38.7068 | Acc: 0.4234
Época 75/100 | Loss: 37.8201 | Acc: 0.4277
Época 76/100 | Loss: 37.0839 | Acc: 0.4170
Época 77/100 | Loss: 36.2142 | Acc: 0.4234
Época 78/100 | Loss: 35.5211 | Acc: 0.4170
Época 79/100 | Loss: 34.7317 | Acc: 0.4234
Época 80/100 | Loss: 33.9602 | Acc: 0.4149
Época 81/100 | Loss: 33.1065 | Acc: 0.4085
Época 82/100 | Loss: 32.5731 | Acc: 0.4149
Época 83/100 | Loss: 31.7728 | Acc: 0.4085
Época 84/100 | Loss: 31.1497 | Acc: 0.4000
Época 85/100 | Loss: 30.6387 | Acc: 0.4170
Época 86/100 | Loss: 29.9706 | Acc: 0.4106
Época 87/100 | Loss: 29.3180 | Acc: 0.4085
Época 88/100 | Loss: 28.7193 | Acc: 0.4106
Época 89/100 | Loss: 28.2245 | Acc: 0.4106
Época 90/100 | Loss: 27.5198 | Acc: 0.4085
Época 91/100 | Loss: 27.0052 | Acc: 0.4128
Época 92/100 | Loss: 26.3698 | Acc: 0.4106
Época 93/100 | Loss: 26.0484 | Acc: 0.4170
Época 94/100 | Loss: 25.4954 | Acc: 0.4064
Época 95/100 | Loss: 24.9593 | Acc: 0.4128
Época 96/100 | Loss: 24.4148 | Acc: 0.4106
Época 97/100 | Loss: 24.0600 | Acc: 0.4043
Época 98/100 | Loss: 23.5312 | Acc: 0.4085
Época 99/100 | Loss: 23.1991 | Acc: 0.4085
Época 100/100 | Loss: 22.6896 | Acc: 0.3979
Época 1/100 | Loss: 247.4836 | Acc: 0.0213
Época 2/100 | Loss: 241.5018 | Acc: 0.0340
Época 3/100 | Loss: 237.0637 | Acc: 0.0532
Época 4/100 | Loss: 233.0448 | Acc: 0.0617
Época 5/100 | Loss: 228.7733 | Acc: 0.0766
Época 6/100 | Loss: 224.1587 | Acc: 0.0872
Época 7/100 | Loss: 219.0309 | Acc: 0.1085
Época 8/100 | Loss: 213.5075 | Acc: 0.1191
Época 9/100 | Loss: 207.6524 | Acc: 0.1404
Época 10/100 | Loss: 201.2796 | Acc: 0.1596
Época 11/100 | Loss: 194.7478 | Acc: 0.1809
Época 12/100 | Loss: 187.9667 | Acc: 0.1979
Época 13/100 | Loss: 181.5021 | Acc: 0.2106
Época 14/100 | Loss: 174.9309 | Acc: 0.2340
Época 15/100 | Loss: 168.5751 | Acc: 0.2426
Época 16/100 | Loss: 162.5766 | Acc: 0.2596
Época 17/100 | Loss: 156.9302 | Acc: 0.2872
Época 18/100 | Loss: 151.4707 | Acc: 0.3000
Época 19/100 | Loss: 146.5259 | Acc: 0.2872
Época 20/100 | Loss: 141.5248 | Acc: 0.3064
Época 21/100 | Loss: 137.0419 | Acc: 0.3298
Época 22/100 | Loss: 133.0906 | Acc: 0.3383
Época 23/100 | Loss: 129.0683 | Acc: 0.3489
Época 24/100 | Loss: 125.0779 | Acc: 0.3426
Época 25/100 | Loss: 122.1047 | Acc: 0.3489
Época 26/100 | Loss: 118.6707 | Acc: 0.3489
Época 27/100 | Loss: 115.5569 | Acc: 0.3596
Época 28/100 | Loss: 112.5884 | Acc: 0.3936
Época 29/100 | Loss: 110.0651 | Acc: 0.3809
Época 30/100 | Loss: 107.2058 | Acc: 0.4021
Época 31/100 | Loss: 104.5226 | Acc: 0.3894
Época 32/100 | Loss: 102.4073 | Acc: 0.3957
Época 33/100 | Loss: 99.9635 | Acc: 0.4021
Época 34/100 | Loss: 97.7600 | Acc: 0.4000
Época 35/100 | Loss: 95.6476 | Acc: 0.4106
Época 36/100 | Loss: 93.3640 | Acc: 0.4128
Época 37/100 | Loss: 91.2627 | Acc: 0.4128
Época 38/100 | Loss: 89.5681 | Acc: 0.4064
Época 39/100 | Loss: 87.9134 | Acc: 0.4170
Época 40/100 | Loss: 85.6805 | Acc: 0.4043
Época 41/100 | Loss: 83.9547 | Acc: 0.4085
Época 42/100 | Loss: 82.2204 | Acc: 0.4085
Época 43/100 | Loss: 80.7037 | Acc: 0.4170
Época 44/100 | Loss: 78.8694 | Acc: 0.4277
Época 45/100 | Loss: 77.4244 | Acc: 0.4128
Época 46/100 | Loss: 75.5817 | Acc: 0.4106
Época 47/100 | Loss: 74.3499 | Acc: 0.4149
Época 48/100 | Loss: 72.5664 | Acc: 0.4362
Época 49/100 | Loss: 70.8881 | Acc: 0.4383
Época 50/100 | Loss: 69.7883 | Acc: 0.4255
Época 51/100 | Loss: 68.2816 | Acc: 0.4298
Época 52/100 | Loss: 66.9217 | Acc: 0.4255
Época 53/100 | Loss: 65.5683 | Acc: 0.4404
Época 54/100 | Loss: 64.3366 | Acc: 0.4447
Época 55/100 | Loss: 62.9676 | Acc: 0.4383
Época 56/100 | Loss: 61.7007 | Acc: 0.4298
Época 57/100 | Loss: 60.3914 | Acc: 0.4404
Época 58/100 | Loss: 58.9794 | Acc: 0.4383
Época 59/100 | Loss: 58.1520 | Acc: 0.4362
Época 60/100 | Loss: 56.7854 | Acc: 0.4319
Época 61/100 | Loss: 55.7249 | Acc: 0.4298
Época 62/100 | Loss: 54.3564 | Acc: 0.4362
Época 63/100 | Loss: 53.3204 | Acc: 0.4383
Época 64/100 | Loss: 52.2422 | Acc: 0.4340
Época 65/100 | Loss: 51.1493 | Acc: 0.4426
Época 66/100 | Loss: 50.1985 | Acc: 0.4277
Época 67/100 | Loss: 49.1307 | Acc: 0.4298
Época 68/100 | Loss: 48.0273 | Acc: 0.4340
Época 69/100 | Loss: 47.0737 | Acc: 0.4340
Época 70/100 | Loss: 46.2030 | Acc: 0.4277
Época 71/100 | Loss: 45.3180 | Acc: 0.4319
Época 72/100 | Loss: 44.2977 | Acc: 0.4234
Época 73/100 | Loss: 43.2610 | Acc: 0.4234
Época 74/100 | Loss: 42.6216 | Acc: 0.4234
Época 75/100 | Loss: 41.5749 | Acc: 0.4277
Época 76/100 | Loss: 40.8980 | Acc: 0.4319
Época 77/100 | Loss: 39.9693 | Acc: 0.4362
Época 78/100 | Loss: 39.2005 | Acc: 0.4340
Época 79/100 | Loss: 38.4135 | Acc: 0.4404
Época 80/100 | Loss: 37.7171 | Acc: 0.4383
Época 81/100 | Loss: 36.8623 | Acc: 0.4277
Época 82/100 | Loss: 36.0163 | Acc: 0.4319
